1,1982,2,2,280
2,1969,2,4,292
3,2016,4,1,408
4,1986,2,3,329
5,1971,5,2,141
6,1983,2,1,457
7,2009,2,2,372
8,2007,2,4,290
9,2010,0,5,178
10,1986,1,3,387
11,1978,4,3,325
12,2011,5,4,339
13,2016,3,4,61
14,1991,3,4,7
15,2000,0,5,92
16,1983,2,3,303
17,2011,5,1,68
18,1994,3,2,317
19,2010,3,4,24
20,2011,5,1,479
21,2006,5,4,12
22,2004,2,5,324
23,1970,2,2,35
24,1989,5,2,48
25,1992,1,4,324
26,2008,4,4,416
27,2017,4,1,364
28,1992,1,5,112
29,1978,2,2,165
30,1998,1,5,276
31,1992,0,1,63
32,1985,5,4,12
33,1995,2,4,421
34,1993,4,5,383
35,1968,3,1,401
36,1997,5,4,204
37,1970,1,3,102
38,1992,3,2,64
39,1991,5,2,303
40,2008,4,1,179
41,1973,4,2,399
42,1989,3,2,194
43,2015,0,4,188
44,1987,4,3,330
45,2000,0,3,187
46,1993,0,1,321
47,1991,3,4,90
48,1968,3,2,35
49,1974,1,4,312
50,1971,0,2,470
51,1977,0,4,187
52,2002,0,4,392
53,2012,1,1,350
54,1999,2,3,111
55,1982,4,3,417
56,1998,2,1,233
57,2005,4,4,80
58,2016,2,4,305
59,1990,2,1,304
60,2006,5,2,472
61,1995,4,1,54
62,1976,0,2,180
63,1987,1,4,429
64,2006,5,1,171
65,1983,0,3,246
66,1974,4,2,39
67,1987,0,3,31
68,1976,0,4,290
69,1970,0,2,6
70,2003,1,4,341
71,1978,4,3,389
72,1968,3,4,485
73,1989,1,2,158
74,2002,1,1,211
75,1982,0,3,182
76,1976,3,3,341
77,1999,4,3,84
78,2010,3,1,388
79,2009,4,3,496
80,1978,4,2,415
81,1995,1,1,275
82,2004,1,4,134
83,2011,2,3,352
84,2008,5,2,34
85,1980,5,5,110
86,2009,3,5,406
87,1981,4,5,137
88,1971,0,1,163
89,1991,5,3,418
90,2011,0,3,431
91,2006,3,2,213
92,1998,2,3,360
93,2002,1,2,81
94,1999,5,3,1
95,2001,4,2,134
96,1982,2,4,7
97,1978,0,3,242
98,2001,0,3,382
99,1975,0,4,227
100,1970,1,2,456
101,1985,5,5,19
102,1989,1,1,52
103,2016,2,5,364
104,1991,3,5,329
105,1993,1,3,500
106,1968,2,1,467
107,2002,5,5,76
108,1982,4,4,384
109,1974,3,5,151
110,1981,3,5,118
111,2013,2,4,73
112,1995,0,5,346
113,2005,1,4,380
114,2014,0,4,130
115,1999,0,2,52
116,1995,3,1,185
117,1996,1,1,158
118,1981,0,2,194
119,1994,1,2,187
120,1994,3,1,157
121,2005,1,3,333
122,1992,0,4,79
123,2011,1,3,169
124,2011,5,4,439
125,2000,3,3,183
126,1999,4,3,183
127,2012,3,2,75
128,2011,1,2,209
129,1995,5,1,224
130,2012,2,4,170
131,1992,2,3,178
132,2012,1,5,257
133,1998,0,1,250
134,2014,1,3,105
135,2008,5,1,238
136,1986,5,2,156
137,2010,0,3,440
138,1988,0,4,193
139,1981,3,3,29
140,1983,5,3,58
141,1990,4,1,148
142,1980,5,5,114
143,2004,4,2,18
144,1999,4,4,74
145,1996,4,2,76
146,2012,5,4,398
147,1987,2,2,478
148,1973,2,5,452
149,1986,4,2,110
150,1972,5,5,5
151,1988,3,3,76
152,2012,5,3,16
153,1987,0,2,274
154,2017,0,2,109
155,1994,3,2,60
156,1986,2,1,269
157,1975,1,1,253
158,2008,0,1,245
159,1969,1,4,19
160,1993,3,1,499
161,2003,0,2,157
162,1976,5,2,229
163,2010,4,3,234
164,1980,3,4,431
165,1983,1,4,392
166,2013,3,1,295
167,2003,5,1,254
168,1994,4,1,453
169,2008,4,3,175
170,2016,5,5,341
171,2005,3,2,399
172,2015,3,5,407
173,1973,4,5,170
174,1992,1,2,442
175,2010,4,2,445
176,1999,3,5,4
177,2003,5,2,363
178,2010,0,3,179
179,2001,3,5,466
180,1983,5,5,340
181,1982,2,5,96
182,2008,1,2,261
183,1993,4,4,458
184,1982,0,1,29
185,1998,5,3,449
186,2001,5,1,30
187,1996,4,4,391
188,1992,2,1,420
189,1992,2,3,376
190,2013,5,1,290
191,2000,5,2,95
192,2011,5,3,187
193,1974,3,4,146
194,2007,5,3,436
195,2006,5,1,90
196,1996,1,4,363
197,1996,2,5,481
198,1991,0,3,203
199,2008,1,2,32
200,1971,1,2,157
201,1996,3,3,179
202,2006,4,4,264
203,1969,4,3,87
204,1996,2,2,496
205,2001,0,5,31
206,2012,0,5,175
207,2001,1,2,377
208,1968,1,1,40
209,1974,5,5,269
210,1974,4,4,356
211,2014,4,1,62
212,1978,2,3,399
213,1978,0,4,315
214,2003,1,1,367
215,1998,2,1,396
216,1981,2,1,72
217,1997,3,4,405
218,2017,1,3,260
219,1985,5,4,315
220,1983,0,4,327
221,2004,5,4,414
222,1998,4,3,3
223,2014,5,1,70
224,1999,2,1,361
225,1981,1,3,325
226,2009,5,3,299
227,1975,3,4,36
228,1968,4,5,4
229,1984,1,5,95
230,1987,5,1,311
231,2009,4,4,70
232,1975,4,3,383
233,2001,1,2,439
234,1987,5,5,435
235,1996,4,3,421
236,2016,1,5,394
237,1989,5,5,275
238,1985,5,3,314
239,2011,0,3,425
240,1972,1,4,93
241,2013,1,5,403
242,1968,2,2,168
243,1997,5,2,284
244,1997,1,3,424
245,1986,4,4,257
246,1989,5,2,347
247,1986,1,1,443
248,2001,2,1,420
249,2001,3,2,188
250,2016,3,1,235
251,2007,5,4,136
252,2016,5,1,64
253,1994,3,5,240
254,1987,1,4,324
255,2008,0,3,29
256,2002,4,4,264
257,2002,1,3,319
258,1969,2,2,280
259,2017,0,4,350
260,2015,5,1,494
261,2008,3,1,431
262,2011,5,1,63
263,2002,2,5,158
264,2003,5,1,282
265,1994,0,1,202
266,2001,2,3,455
267,1976,0,3,147
268,1985,2,5,354
269,2001,1,5,385
270,1996,2,5,487
271,1987,0,4,442
272,1979,5,5,45
273,2001,4,4,489
274,1984,1,4,461
275,1988,1,5,133
276,1989,4,3,213
277,2012,2,5,292
278,1994,2,3,262
279,1982,2,5,386
280,2010,2,4,61
281,1971,0,4,141
282,1984,2,5,320
283,2007,0,3,38
284,1993,3,2,302
285,1980,3,1,249
286,1993,3,2,265
287,1984,5,2,264
288,1996,0,5,136
289,2010,0,1,245
290,1977,2,3,492
291,1986,2,2,376
292,1976,0,3,382
293,2007,1,1,2
294,2011,0,3,331
295,2013,2,2,16
296,1981,4,5,45
297,1990,5,5,283
298,1981,2,5,246
299,1968,4,3,235
300,2005,2,5,172
301,1984,4,4,140
302,2011,2,2,182
303,1999,5,4,217
304,2007,3,4,131
305,1990,0,2,43
306,2010,0,1,414
307,1994,5,1,443
308,1972,2,4,162
309,1981,2,4,463
310,2001,0,2,51
311,1986,1,2,247
312,2016,1,3,304
313,1982,1,1,260
314,2004,3,2,346
315,1990,1,1,62
316,1976,2,2,309
317,2008,3,3,115
318,2004,3,3,250
319,1988,5,5,381
320,2010,5,5,283
321,1999,3,1,385
322,1984,1,1,344
323,1996,2,2,422
324,2002,4,3,468
325,2002,3,5,327
326,1999,5,2,117
327,2002,0,2,147
328,1999,4,4,332
329,2017,2,5,434
330,1996,1,5,385
331,2000,4,2,132
332,1984,0,4,489
333,1994,3,1,339
334,1994,3,4,353
335,1994,0,5,415
336,2008,0,2,292
337,1976,0,3,242
338,1995,5,2,304
339,1982,2,4,100
340,1975,0,5,362
341,2014,1,3,457
342,2011,0,2,194
343,1981,0,5,60
344,2012,3,4,387
345,2014,3,2,304
346,2009,5,1,232
347,1999,3,1,15
348,1981,2,3,188
349,1975,1,3,169
350,2005,0,4,23
351,2011,1,1,496
352,2003,5,4,224
353,1987,0,5,42
354,1970,0,4,27
355,1997,4,1,91
356,1988,5,4,130
357,2010,5,5,407
358,1983,5,4,137
359,1990,0,4,411
360,1979,0,5,139
361,1986,0,3,406
362,2010,2,2,242
363,1982,2,1,168
364,2017,5,4,120
365,2010,0,2,214
366,1992,2,5,82
367,1989,4,3,322
368,2004,5,3,360
369,1978,0,1,453
370,1992,3,4,134
371,1984,3,3,107
372,1975,4,3,56
373,1984,4,4,322
374,1999,0,5,245
375,1970,5,1,29
376,1979,5,2,61
377,2011,4,3,200
378,1997,2,5,37
379,2006,5,4,317
380,1986,2,3,168
381,2008,3,4,469
382,1996,1,5,309
383,2003,0,5,270
384,1989,2,3,294
385,2012,2,1,111
386,1972,5,3,399
387,1969,5,1,385
388,1973,5,1,494
389,1974,2,2,446
390,2006,4,5,340
391,1990,0,2,150
392,2005,1,1,499
393,1978,1,4,361
394,2017,5,1,49
395,2016,2,5,426
396,1994,3,5,270
397,1989,1,5,414
398,1979,4,1,447
399,1968,4,2,279
400,1977,1,3,416
